scenario,targeted_customers,gross_preserved_value,campaign_cost,net_value,roi,lift_over_random_targeting,acceptance_rate,retained_months,intervention_cost_per_customer,gross_margin_multiplier
Conservative,2000,324873.544144047,90000.0,234873.54414404702,2.609706046044967,1.5889830508474576,0.2,12,45,0.8
Base,2000,913706.8666866227,130000.0,783706.8666866226,6.0285143591278665,1.5889830508474576,0.3,18,65,1.0
Aggressive,2000,1786804.4927922587,170000.0,1616804.4927922587,9.510614663483874,1.5889830508474576,0.4,24,85,1.1
